ref_id_group_0,ref_id_group_1,ref_id_group_2,ref_id_group_3,ref_id_group_4,ref_id_group_5,ref_id_group_6,original_index_group_0,original_index_group_1,original_index_group_2,original_index_group_3,original_index_group_4,original_index_group_5,original_index_group_6,temperature_group_0,temperature_group_1,temperature_group_2,temperature_group_3,temperature_group_4,temperature_group_5,temperature_group_6,gamma_group_0,gamma_group_1,gamma_group_2,gamma_group_3,gamma_group_4,gamma_group_5,gamma_group_6,r2_group_0,r2_group_1,r2_group_2,r2_group_3,r2_group_4,r2_group_5,r2_group_6,inv_temperature_group_0,inv_temperature_group_1,inv_temperature_group_2,inv_temperature_group_3,inv_temperature_group_4,inv_temperature_group_5,inv_temperature_group_6,ln_gamma_group_0,ln_gamma_group_1,ln_gamma_group_2,ln_gamma_group_3,ln_gamma_group_4,ln_gamma_group_5,ln_gamma_group_6
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45060, 45061, 45062, 45063]","[51606, 51607, 51608]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[13.8, 13.7, 13.6, 13.5]","[14.5, 14.31, 14.05]",,,,,,0.9991388324780512,0.9888371888651888,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[2.624668592163159, 2.617395832834079, 2.6100697927420065, 2.6026896854443837]","[2.6741486494265287, 2.6609585935683597, 2.642622395779755]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45064, 45065, 45066, 45067]","[51243, 51244, 51245]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[4.87, 4.82, 4.79, 4.75]","[5.02, 5.06, 5.02]",,,,,,0.9935108925889616,0.0001412792438793,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[1.5830939370944985, 1.572773928062509, 1.5665304114228238, 1.55814461804655]","[1.6134299337036377, 1.6213664832993742, 1.6134299337036377]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45068, 45069, 45070, 45071]","[51246, 51247, 51248]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[5.01, 4.99, 4.97, 4.94]","[4.77, 4.83, 4.82]",,,,,,0.9826076609117284,0.6172763441059127,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[1.6114359150967734, 1.6074359097634274, 1.6034198401085373, 1.5973653311998313]","[1.5623463049002497, 1.5748464676644813, 1.572773928062509]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45080, 45081, 45082, 45083]","[51288, 51289, 51290]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[0.933, 0.937, 0.942, 0.947]","[0.94, 0.94, 0.96]",,,,,,0.9944239683303512,0.7396364277035995,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[-0.06935007813479317, -0.0650719967437148, -0.05975000440577405, -0.054456185796058855]","[-0.06187540371808753, -0.06187540371808753, -0.040821994520255166]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45084, 45085, 45086, 45087]","[51297, 51298, 51299]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[1.54, 1.55, 1.57, 1.58]","[1.53, 1.55, 1.58]",,,,,,0.9793436918041976,0.9850835444326406,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[0.43178241642553783, 0.4382549309311553, 0.45107561936021673, 0.4574248470388755]","[0.4252677354043441, 0.4382549309311553, 0.4574248470388755]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45088, 45089, 45090, 45091]","[51294, 51295, 51296]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[2.26, 2.24, 2.24, 2.22]","[2.37, 2.3, 2.3]",,,,,,0.8995288661161546,0.7602222930525204,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[0.8153648132841944, 0.8064758658669485, 0.8064758658669485, 0.7975071958841882]","[0.8628899551470398, 0.8329091229351039, 0.8329091229351039]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45104, 45105, 45106, 45107]","[51612, 51613, 51614]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[11.4, 11.2, 11.1, 10.9]","[11.85, 11.69, 11.57]",,,,,,0.9836232371297464,0.9955119482674192,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[2.4336133554004498, 2.4159137783010487, 2.4069451083182885, 2.388762789235098]","[2.47232786758114, 2.458733775483977, 2.448415541205585]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45108, 45109, 45110, 45111]","[51603, 51604, 51605]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[15.6, 15.1, 14.6, 14.2]","[15.8, 15.6, 15.4]",,,,,,0.9994257174251208,0.9997570519459212,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[2.747270914255491, 2.714694743820879, 2.681021528714291, 2.653241964607215]","[2.760009940032921, 2.747270914255491, 2.7343675094195836]",,,,,
"[205, 205, 205]",,,,,,"[218, 210, 210]","[51237, 51238, 51239]",,,,,,"[53068, 52608, 52609]","[312.75, 322.55, 332.55]",,,,,,"[303.0, 303.0, 323.0]","[255.0, 241.0, 144.9]",,,,,,"[213.0, 213.0, 144.7]",0.8149631119072509,,,,,,1.0,"[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[0.0033003300330033004, 0.0033003300330033004, 0.0030959752321981426]","[5.541263545158426, 5.484796933490655, 4.976043849326636]",,,,,,"[5.3612921657094255, 5.3612921657094255, 4.974662633637438]"
,,,,,,"[210, 210, 212, 189, 189, 214]",,,,,,,"[52552, 52553, 52653, 52222, 52223, 52703]",,,,,,,"[298.0, 323.0, 298.0, 323.0, 343.0, 363.65]",,,,,,,"[0.5, 0.4, 1.75, 1.24, 1.1, 0.81]",,,,,,,0.0008717282897077,,,,,,,"[0.003355704697986577, 0.0030959752321981426, 0.003355704697986577, 0.0030959752321981426, 0.0029154518950437317, 0.0027498968788670424]",,,,,,,"[-0.6931471805599453, -0.916290731874155, 0.5596157879354227, 0.2151113796169455, 0.09531017980432493, -0.21072103131565253]"
"[201, 201, 201]","[207, 207, 207]",,,,,,"[49914, 49915, 49916]","[51972, 51973, 51974]",,,,,,"[323.15, 333.15, 343.15]","[313.1, 333.1, 353.1]",,,,,,"[1.61, 1.64, 1.66]","[1.57, 1.59, 1.61]",,,,,,0.9896717178232608,0.9990380562461876,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131]","[0.0031938677738741613, 0.0030021014710297205, 0.0028320589068252617]",,,,,,"[0.4762341789963717, 0.494696241836107, 0.5068176023684519]","[0.45107561936021673, 0.4637340162321402, 0.4762341789963717]",,,,,
