ref_id_group_0,ref_id_group_1,ref_id_group_2,ref_id_group_3,ref_id_group_4,ref_id_group_5,ref_id_group_6,original_index_group_0,original_index_group_1,original_index_group_2,original_index_group_3,original_index_group_4,original_index_group_5,original_index_group_6,temperature_group_0,temperature_group_1,temperature_group_2,temperature_group_3,temperature_group_4,temperature_group_5,temperature_group_6,gamma_group_0,gamma_group_1,gamma_group_2,gamma_group_3,gamma_group_4,gamma_group_5,gamma_group_6,r2_group_0,r2_group_1,r2_group_2,r2_group_3,r2_group_4,r2_group_5,r2_group_6,inv_temperature_group_0,inv_temperature_group_1,inv_temperature_group_2,inv_temperature_group_3,inv_temperature_group_4,inv_temperature_group_5,inv_temperature_group_6,ln_gamma_group_0,ln_gamma_group_1,ln_gamma_group_2,ln_gamma_group_3,ln_gamma_group_4,ln_gamma_group_5,ln_gamma_group_6
"[48, 48, 48, 48, 48]","[196, 196, 196]","[117, 117, 117, 117, 117]",,,,,"[33155, 33156, 33157, 33158, 33159]","[48966, 48967, 48968]","[32505, 32506, 32507, 32508, 32509]",,,,,"[308.15, 318.15, 328.15, 338.15, 348.15]","[312.55, 322.45, 332.45]","[318.15, 323.15, 333.15, 343.15, 353.15]",,,,,"[79.6, 74.3, 68.7, 64.8, 60.6]","[84.5, 74.2, 67.7]","[127.0, 122.0, 114.0, 107.0, 101.0]",,,,,0.9989217388755628,0.9928701897830704,0.9994999064260388,,,,,"[0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664]","[0.003199488081906895, 0.0031012560086835167, 0.003007971123477215]","[0.0031431714600031434, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365]",,,,,"[4.377014092850337, 4.308110951723713, 4.229749199228304, 4.1713056033582285, 4.104294893075269]","[4.436751534363128, 4.3067641501733345, 4.215086179918229]","[4.844187086458591, 4.804021044733257, 4.736198448394496, 4.672828834461906, 4.61512051684126]",,,,
"[96, 96, 96, 96, 96, 96]","[38, 38, 38, 38, 38, 38, 38]",,,,,,"[27286, 27287, 27288, 27289, 27290, 27291]","[6111, 6112, 6113, 6114, 6115, 6116, 6117]",,,,,,"[333.15, 343.15, 353.15, 363.15, 373.15, 383.15]","[353.0, 358.0, 363.0, 368.0, 373.0, 378.0, 383.0]",,,,,,"[2.25, 2.28, 2.28, 2.28, 2.26, 2.16]","[3.17, 3.11, 3.09, 3.05, 3.02, 2.99, 2.96]",,,,,,0.3078927805515769,0.9912426107733778,,,,,,"[0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215, 0.0026099438862064468]","[0.0028328611898017, 0.002793296089385475, 0.0027548209366391185, 0.002717391304347826, 0.002680965147453083, 0.0026455026455026454, 0.0026109660574412533]",,,,,,"[0.8109302162163288, 0.8241754429663494, 0.8241754429663494, 0.8241754429663494, 0.8153648132841944, 0.7701082216960737]","[1.1537315878891892, 1.1346227261911428, 1.128171090909654, 1.1151415906193203, 1.1052568313867783, 1.095273387402595, 1.085189268335969]",,,,,
"[99, 99, 99, 99, 99, 99]","[103, 103, 103, 103, 103, 103]",,,,,,"[28384, 28385, 28386, 28387, 28388, 28389]","[29974, 29975, 29976, 29977, 29978, 29979]",,,,,,"[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]","[313.1, 322.9, 333.1, 343.5, 353.3, 363.9]",,,,,,"[1.76, 1.84, 1.93, 2.01, 2.1, 2.18]","[2.4, 2.48, 2.63, 2.55, 2.54, 2.51]",,,,,,0.9995817238681712,0.2415554815339348,,,,,,"[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]","[0.0031938677738741613, 0.0030969340353050484, 0.0030021014710297205, 0.002911208151382824, 0.002830455703368242, 0.0027480076944215444]",,,,,,"[0.5653138090500605, 0.6097655716208943, 0.6575200029167941, 0.6981347220709843, 0.7419373447293773, 0.7793248768009977]","[0.8754687373538999, 0.9082585601768908, 0.9669838461896731, 0.9360933591703348, 0.9321640810304452, 0.9202827531436925]",,,,,
"[118, 118, 118, 118, 118]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[32640, 32641, 32642, 32643, 32644]","[3724, 3725, 3726, 3727, 3728, 3729, 3730]",,,,,,"[318.15, 323.15, 333.15, 343.15, 353.15]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[0.942, 0.947, 0.957, 0.967, 0.978]","[0.938, 0.949, 0.958, 0.966, 0.976, 0.983, 0.992]",,,,,,0.9981945123816168,0.9989313763525572,,,,,,"[0.0031431714600031434, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[-0.05975000440577405, -0.054456185796058855, -0.04395188752918283, -0.033556783528842754, -0.022245608947319737]","[-0.06400532997591243, -0.052346480372209236, -0.04290750101127655, -0.03459144476961909, -0.024292692569044587, -0.017146158834970514, -0.008032171697264267]",,,,,
"[3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]",,,,,,"[41296, 41297, 41298, 41299]","[198, 199, 200, 201, 202, 203, 204, 205]",,,,,,"[301.65, 312.15, 322.85, 333.35]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]",,,,,,"[2.46, 2.19, 1.9, 1.68]","[2.39, 2.44, 1.87, 1.88, 1.49, 1.52, 1.3, 1.3]",,,,,,0.99727989157512,0.995099973838126,,,,,,"[0.003315100281783524, 0.0032035880185808108, 0.0030974136595942384, 0.0029998500074996247]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]",,,,,,"[0.9001613499442714, 0.7839015438284094, 0.6418538861723947, 0.5187937934151675]","[0.8712933659434193, 0.8919980393051105, 0.6259384308664954, 0.6312717768418578, 0.3987761199573678, 0.41871033485818504, 0.26236426446749106, 0.26236426446749106]",,,,,
"[3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]",,,,,,"[41292, 41293, 41294, 41295]","[190, 191, 192, 193, 194, 195, 196, 197]",,,,,,"[301.65, 312.15, 322.85, 333.35]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]",,,,,,"[2.14, 1.9, 1.66, 1.47]","[2.03, 2.03, 1.65, 1.67, 1.37, 1.38, 1.2, 1.21]",,,,,,0.9984147748746584,0.9977716617636592,,,,,,"[0.003315100281783524, 0.0032035880185808108, 0.0030974136595942384, 0.0029998500074996247]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]",,,,,,"[0.7608058290337602, 0.6418538861723947, 0.5068176023684519, 0.3852624007906449]","[0.7080357930536959, 0.7080357930536959, 0.5007752879124892, 0.5128236264286637, 0.3148107398400336, 0.3220834991691132, 0.1823215567939546, 0.1906203596086497]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26572, 26573, 26574, 26575, 26576, 26577]","[8152, 8153, 8154, 8155, 8156, 8157]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[2.37, 2.13, 1.97, 1.84, 1.73, 1.62]","[2.63, 2.49, 2.36, 2.25, 2.15, 2.06]",,,,,,0.9955536008320038,0.9999236496241676,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[0.8628899551470398, 0.7561219797213337, 0.6780335427498971, 0.6097655716208943, 0.5481214085096876, 0.4824261492442928]","[0.9669838461896731, 0.9122827104766164, 0.8586616190375187, 0.8109302162163288, 0.7654678421395714, 0.7227059828014898]",,,,,
"[145, 145, 145, 145, 145]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[38990, 38991, 38992, 38993, 38994]","[3689, 3690, 3691, 3692, 3693, 3694, 3695]",,,,,,"[303.5, 313.3, 323.3, 333.1, 342.8]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[9.64, 9.42, 9.11, 8.84, 8.58]","[8.66, 8.48, 8.31, 8.15, 7.99, 7.86, 7.73]",,,,,,0.9938295980129962,0.9997459974468548,,,,,,"[0.0032948929159802307, 0.0031918289179699967, 0.0030931023816888337, 0.0030021014710297205, 0.0029171528588098016]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[2.265921108622454, 2.2428350885882717, 2.209372711271867, 2.179286876649552, 2.149433913499871]","[2.1587147225743437, 2.1377104498038118, 2.1174596088673567, 2.0980179272527715, 2.0781907597781832, 2.061786606441115, 2.0451088625993306]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26476, 26477, 26478, 26479, 26480, 26481]","[7522, 7523, 7524, 7525, 7526, 7527]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[1.02, 1.05, 1.09, 1.13, 1.16, 1.18]","[1.07, 1.14, 1.21, 1.28, 1.35, 1.42]",,,,,,0.992977785850958,0.9999980355621184,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[0.01980262729617973, 0.04879016416943204, 0.08617769624105241, 0.12221763272424911, 0.14842000511827322, 0.16551443847757333]","[0.06765864847381486, 0.131028262406404, 0.1906203596086497, 0.2468600779315258, 0.30010459245033816, 0.35065687161316933]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26584, 26585, 26586, 26587, 26588, 26589]","[8158, 8159, 8160, 8161, 8162, 8163]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[3.25, 2.89, 2.66, 2.46, 2.29, 2.13]","[3.63, 3.4, 3.2, 3.02, 2.87, 2.73]",,,,,,0.9967023297747212,0.9998600964748764,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[1.1786549963416462, 1.0612565021243408, 0.9783261227936078, 0.9001613499442714, 0.8285518175661483, 0.7561219797213337]","[1.2892326482767593, 1.2237754316221157, 1.1631508098056809, 1.1052568313867783, 1.0543120297715298, 1.0043016091968684]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26482, 26483, 26484, 26485, 26486, 26487]","[7552, 7553, 7554, 7555, 7556, 7557]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[1.42, 1.48, 1.53, 1.59, 1.64, 1.66]","[1.49, 1.59, 1.68, 1.78, 1.88, 1.97]",,,,,,0.9891022090807072,0.9997589373816548,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[0.35065687161316933, 0.3920420877760237, 0.4252677354043441, 0.4637340162321402, 0.494696241836107, 0.5068176023684519]","[0.3987761199573678, 0.4637340162321402, 0.5187937934151675, 0.5766133643039938, 0.6312717768418578, 0.6780335427498971]",,,,,
"[145, 145, 145, 145, 145]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[39010, 39011, 39012, 39013, 39014]","[3717, 3718, 3719, 3720, 3721, 3722, 3723]",,,,,,"[303.6, 313.3, 323.2, 333.2, 343.1]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[2.49, 2.53, 2.58, 2.56, 2.54]","[2.17, 2.18, 2.2, 2.21, 2.22, 2.24, 2.25]",,,,,,0.4000468596886447,0.9895081782632524,,,,,,"[0.0032938076416337285, 0.0031918289179699967, 0.003094059405940594, 0.003001200480192077, 0.002914602156805596]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[0.9122827104766164, 0.9282193027394288, 0.9477893989335261, 0.9400072584914712, 0.9321640810304452]","[0.7747271675523681, 0.7793248768009977, 0.7884573603642703, 0.7929925155296614, 0.7975071958841882, 0.8064758658669485, 0.8109302162163288]",,,,,
"[118, 118, 118, 118, 118]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[32700, 32701, 32702, 32703, 32704]","[3731, 3732, 3733, 3734, 3735, 3736, 3737]",,,,,,"[318.15, 323.15, 333.15, 343.15, 353.15]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[0.699, 0.709, 0.727, 0.744, 0.761]","[0.686, 0.707, 0.726, 0.737, 0.753, 0.775, 0.789]",,,,,,0.9998519428384196,0.9946901528971428,,,,,,"[0.0031431714600031434, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[-0.3581045367483269, -0.3438997524500096, -0.3188288014486177, -0.2957142441490452, -0.2731219211204512]","[-0.3768776512562517, -0.34672461308556435, -0.320205264157341, -0.3051673867928005, -0.2836900511822435, -0.25489224962879004, -0.23698895813626278]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26566, 26567, 26568, 26569, 26570, 26571]","[8146, 8147, 8148, 8149, 8150, 8151]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[2.55, 2.27, 2.1, 1.96, 1.83, 1.7]","[2.84, 2.68, 2.54, 2.42, 2.3, 2.21]",,,,,,0.995267672758782,0.999671063126913,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[0.9360933591703348, 0.8197798314933114, 0.7419373447293773, 0.6729444732424258, 0.6043159668533296, 0.5306282510621704]","[1.0438040521731147, 0.9858167945227654, 0.9321640810304452, 0.883767540168595, 0.8329091229351039, 0.7929925155296614]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26410, 26411, 26412, 26413, 26414, 26415]","[7882, 7883, 7884, 7885, 7886, 7887]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[33.8, 33.0, 30.3, 27.9, 26.1, 24.7]","[40.5, 38.9, 37.4, 36.0, 34.8, 33.9]",,,,,,0.9809257640763056,0.9988889382484458,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[3.520460802488973, 3.4965075614664802, 3.4111477125153233, 3.32862668882732, 3.261935314328648, 3.2068032436339315]","[3.7013019741124933, 3.6609942506244004, 3.6216707044204863, 3.58351893845611, 3.5496173867804286, 3.5234150143864045]",,,,,
"[118, 118, 118, 118, 118]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[32710, 32711, 32712, 32713, 32714]","[3738, 3739, 3740, 3741, 3742, 3743, 3744]",,,,,,"[318.15, 323.15, 333.15, 343.15, 353.15]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[2.77, 2.8, 2.85, 2.9, 2.95]","[2.82, 2.86, 2.9, 2.94, 2.97, 3.01, 3.04]",,,,,,0.99969130911215,0.9993785400627686,,,,,,"[0.0031431714600031434, 0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[1.0188473201992472, 1.0296194171811581, 1.0473189942805592, 1.0647107369924282, 1.0818051703517284]","[1.0367368849500223, 1.0508216248317612, 1.0647107369924282, 1.0784095813505903, 1.0885619528146082, 1.1019400787607843, 1.1118575154181303]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26422, 26423, 26424, 26425, 26426, 26427]","[7888, 7889, 7890, 7891, 7892, 7893]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[49.1, 47.4, 44.7, 40.4, 37.6, 38.4]","[55.4, 53.0, 50.9, 49.0, 47.2, 45.6]",,,,,,0.935333941638122,0.9999669814887184,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[3.893859034800475, 3.858622228701031, 3.7999735016195233, 3.6988297849671046, 3.6270040503958487, 3.648057459593681]","[4.014579593753238, 3.970291913552122, 3.929862923556477, 3.8918202981106265, 3.8543938925915096, 3.8199077165203406]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26542, 26543, 26544, 26545, 26546, 26547]","[7594, 7595, 7596, 7597, 7598, 7599]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[0.99, 1.01, 1.05, 1.09, 1.13, 1.14]","[1.01, 1.08, 1.16, 1.23, 1.31, 1.38]",,,,,,0.9815188755859238,0.9996556439307686,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[-0.01005033585350145, 0.009950330853168092, 0.04879016416943204, 0.08617769624105241, 0.12221763272424911, 0.131028262406404]","[0.009950330853168092, 0.0769610411361284, 0.14842000511827322, 0.20701416938432612, 0.2700271372130602, 0.3220834991691132]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26416, 26417, 26418, 26419, 26420, 26421]","[7894, 7895, 7896, 7897, 7898, 7899]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[34.9, 35.6, 32.5, 30.5, 28.5, 27.8]","[42.3, 41.1, 40.0, 39.0, 38.0, 37.3]",,,,,,0.9310895491498606,0.9992676777212824,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[3.5524868292083815, 3.572345637857985, 3.481240089335692, 3.417726683613366, 3.349904087274605, 3.3250360206965914]","[3.744787086052232, 3.716008121502189, 3.6888794541139363, 3.6635616461296463, 3.6375861597263857, 3.6189933266497696]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26578, 26579, 26580, 26581, 26582, 26583]","[8182, 8183, 8184, 8185, 8186, 8187]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[3.18, 2.8, 2.55, 2.36, 2.2, 2.04]","[3.54, 3.3, 3.09, 2.9, 2.74, 2.6]",,,,,,0.9939779873494452,0.9998623396617864,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[1.1568811967920856, 1.0296194171811581, 0.9360933591703348, 0.8586616190375187, 0.7884573603642703, 0.712949807856125]","[1.264126727145683, 1.1939224684724346, 1.128171090909654, 1.0647107369924282, 1.007957920399979, 0.9555114450274363]",,,,,
"[161, 161, 161, 161]","[181, 181, 181, 181]","[134, 134, 134, 134]",,,,,"[41136, 41137, 41138, 41139]","[46040, 46041, 46042, 46043]","[43264, 43265, 43266, 43267]",,,,,"[313.0, 323.0, 333.0, 343.0]","[313.8, 323.3, 333.7, 344.1]","[293.15, 303.15, 313.15, 323.15]",,,,,"[7.497, 7.21, 6.844, 6.48]","[7.497, 7.201, 6.844, 6.48]","[8.59, 8.1, 7.74, 7.38]",,,,,0.9898502208274964,0.9946547089628104,0.9986719052600076,,,,,"[0.003194888178913738, 0.0030959752321981426, 0.003003003003003003, 0.0029154518950437317]","[0.0031867431485022306, 0.0030931023816888337, 0.0029967036260113876, 0.0029061319383900026]","[0.003411222923418046, 0.003298697014679202, 0.003193357815743254, 0.0030945381401825778]",,,,,"[2.014502940520925, 1.9754689512968577, 1.9233723560299472, 1.8687205103641833]","[2.014502940520925, 1.9742199052667297, 1.9233723560299472, 1.8687205103641833]","[2.150598735996164, 2.0918640616783932, 2.046401687601636, 1.998773638612381]",,,,
"[3, 3, 3, 3]","[4, 4, 4, 4, 4, 4, 4, 4]",,,,,,"[41288, 41289, 41290, 41291]","[230, 231, 232, 233, 234, 235, 236, 237]",,,,,,"[301.65, 312.15, 322.85, 333.35]","[293.15, 293.15, 313.15, 313.15, 333.15, 333.15, 353.15, 353.15]",,,,,,"[1.7, 1.51, 1.34, 1.21]","[1.66, 1.68, 1.35, 1.4, 1.15, 1.16, 1.03, 1.04]",,,,,,0.999825166855248,0.9922180931889544,,,,,,"[0.003315100281783524, 0.0032035880185808108, 0.0030974136595942384, 0.0029998500074996247]","[0.003411222923418046, 0.003411222923418046, 0.003193357815743254, 0.003193357815743254, 0.0030016509079994, 0.0030016509079994, 0.002831657935721365, 0.002831657935721365]",,,,,,"[0.5306282510621704, 0.412109650826833, 0.29266961396282004, 0.1906203596086497]","[0.5068176023684519, 0.5187937934151675, 0.30010459245033816, 0.3364722366212129, 0.13976194237515863, 0.14842000511827322, 0.02955880224154443, 0.03922071315328133]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26494, 26495, 26496, 26497, 26498, 26499]","[7468, 7469, 7470, 7471, 7472, 7473]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[11.6, 10.7, 10.4, 9.9, 9.43, 9.5]","[12.3, 12.4, 12.4, 12.5, 12.5, 12.6]",,,,,,0.9464205670138351,0.9366536011176072,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[2.451005098112319, 2.3702437414678603, 2.341805806147327, 2.2925347571405443, 2.2438960966453663, 2.2512917986064953]","[2.509599262378372, 2.517696472610991, 2.517696472610991, 2.5257286443082556, 2.5257286443082556, 2.533696813957432]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26488, 26489, 26490, 26491, 26492, 26493]","[7558, 7559, 7560, 7561, 7562, 7563]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[2.2, 2.21, 2.28, 2.35, 2.41, 2.42]","[2.27, 2.41, 2.53, 2.67, 2.8, 2.93]",,,,,,0.9582547448982124,0.9996967192183744,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[0.7884573603642703, 0.7929925155296614, 0.8241754429663494, 0.8544153281560676, 0.8796267475025636, 0.883767540168595]","[0.8197798314933114, 0.8796267475025636, 0.9282193027394288, 0.9820784724121582, 1.0296194171811581, 1.075002423028976]",,,,,
"[94, 94, 94, 94, 94, 94]","[47, 47, 47, 47, 47, 47]",,,,,,"[26404, 26405, 26406, 26407, 26408, 26409]","[7870, 7871, 7872, 7873, 7874, 7875]",,,,,,"[323.15, 333.15, 343.15, 353.15, 363.15, 373.15]","[318.15, 328.15, 338.15, 348.15, 358.15, 368.15]",,,,,,"[19.6, 20.6, 18.6, 16.6, 17.0, 15.3]","[25.5, 24.9, 24.3, 23.8, 23.3, 22.8]",,,,,,0.8403501727532243,0.9995631789372356,,,,,,"[0.0030945381401825778, 0.0030016509079994, 0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426, 0.0027162841233192994]",,,,,,"[2.975529566236472, 3.0252910757955354, 2.9231615807191558, 2.8094026953624978, 2.833213344056216, 2.72785282839839]","[3.2386784521643803, 3.214867803470662, 3.190476350346503, 3.169685580677429, 3.1484533605716547, 3.126760535960395]",,,,,
"[145, 145, 145, 145, 145]","[22, 22, 22, 22, 22, 22, 22]",,,,,,"[38960, 38961, 38962, 38963, 38964]","[3647, 3648, 3649, 3650, 3651, 3652, 3653]",,,,,,"[303.5, 313.2, 323.3, 333.1, 343.1]","[298.15, 308.15, 318.15, 328.15, 338.15, 348.15, 358.15]",,,,,,"[11.28, 9.74, 8.39, 7.35, 6.27]","[14.4, 13.5, 12.9, 12.2, 11.6, 11.2, 10.6]",,,,,,0.9981106497577896,0.998150534155436,,,,,,"[0.0032948929159802307, 0.0031928480204342275, 0.0030931023816888337, 0.0030021014710297205, 0.002914602156805596]","[0.0033540164346805303, 0.0032451728054518907, 0.0031431714600031434, 0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]",,,,,,"[2.423031246069913, 2.2762411176544437, 2.127040520479115, 1.9947003132247452, 1.8357763546448294]","[2.667228206581955, 2.6026896854443837, 2.5572273113676265, 2.501435951739211, 2.451005098112319, 2.4159137783010487, 2.3608540011180215]",,,,,
