ref_id,ref
31,"{'full': 'Karpinska, M.; Wlazlo, M.; Zawadzki, M.; Domanska, U. (2018) J. Chem. Thermodyn. 118, 244-254.', 'title': 'Separation of binary mixtures hexane/hex-1-ene, cyclohexane/cyclohexene and ethylbenzene/styrene based on gamma infinity data measurements'}"
32,"{'full': 'Krolikowska, M.; Karpinska, M.; Krolikowski, M. (2013) J. Chem. Thermodyn. 62, 1-7.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in N-hexylisoquinolinium thiocyanate, [HiQuin][SCN] using GLC'}"
33,"{'full': 'Krolikowski, M.; Krolikowski, M. (2014) J. Chem. Thermodyn. 68, 138-144.', 'title': 'The study of activity coefficients at infinite dilution for organic solutes and water in 1-butyl-4-methylpyridinium dicyanamide, [B4MPy][DCA] using GLC'}"
34,"{'full': 'Li, Y.; Wang, L. -S.; Zhang, Y. (2010) J. Chem. Eng. Data 55(4), 1732-1734.', 'title': 'Activity Coefficients at Infinite Dilution of Polar Solutes in 1-(2-Hydroxyethyl)-3-methylimidazolium Tetrafluoroborate Using Gas-Liquid Chromatography'}"
35,"{'full': 'Li, Y.; Wang, L. -S.; Li, M.-Y.; Tian, N.-N. (2011) J. Chem. Eng. Data 56(4), 1704-1708.', 'title': 'Activity Coefficients at Infinite Dilution of Organic Solutes in 1-Decyl-3-methylimidazolium Tetrafluoroborate Using Gas-Liquid Chromatography'}"
36,"{'full': 'Marciniak, A. (2011) J. Chem. Thermodyn. 43(10), 1446-1452.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties for organic solutes and water in the ionic liquid 1-(3-hydroxypropyl)pyridinium bis(trifluoromethylsulfonyl)-amide'}"
37,"{'full': 'Paduszynski, K.; Krolikowska, M. (2016) J. Mol. Liq. 221, 235-244.', 'title': 'Interactions between molecular solutes and task-specific ionic liquid: Measurements of infinite dilution activity coefficients and modeling'}"
38,"{'full': 'Sumartschenkowa, I. A.; Verevkin, S. P.; Vasiltsova, T. V.; Bich, E.; Heintz, A.; Shevelyova, M. P.; Kabo, G. J. (2006) J. Chem. Eng. Data 51(6), 2138.', 'title': 'Experimental Study of Thermodynamic Properties of Mixtures Containing Ionic Liquid 1-Ethyl-3-methylimidazolium Ethyl Sulfate Using Gas-Liquid Chromatography and Transpiration Method'}"
39,"{'full': 'Stark, A.; Ondruschka, B.; Zaitsau, D. H.; Verevkin, S. P. (2012) J. Chem. Eng. Data 57(11), 2985-2991.', 'title': 'Biomass-Derived Platform Chemicals: Thermodynamic Studies on the Extraction of 5-Hydroxymethylfurfural from Ionic Liquids'}"
40,"{'full': 'Wang, M.-H.; Wu, J.-S.; Wang, L. -S.; Li, M.-Y. (2007) J. Chem. Eng. Data 52(4), 1488-1491.', 'title': 'Activity Coefficients at Infinite Dilution of Alkanes, Alkenes, and Alkyl Benzenes in 1-Propyl-2,3-dimethylimidazolium Tetrafluoroborate Using Gas-Liquid Chromatography'}"
41,"{'full': 'Wlazlo, M.; Karpinska, M.; Domanska, U. (2016) J. Chem. Thermodyn. 97, 253-260.', 'title': 'A 1-alkylcyanopyridinium-based ionic liquid in the separation processes'}"
42,"{'full': 'Yang, X.-J.; Wu, J.-S.; Ge, M.-L.; Wang, L. -S.; Li, M.-Y. (2008) J. Chem. Eng. Data 53(5), 1220-1222.', 'title': 'Activity Coefficients at Infinite Dilution of Alkanes, Alkenes, and Alkyl Benzenes in 1-Hexyl-3-methylimidazolium Trifluoromethanesulfonate Using Gas-Liquid Chromatography'}"
43,"{'full': 'Zhang, Y.; Wang, L. -S.; Li, Y. (2009) J. Chem. Eng. Data 54(10), 2887-2890.', 'title': 'Activity Coefficients at Infinite Dilution of Alkanes, Alkenes, and Alkyl Benzenes in 1-(2-Hydroxyethyl)-3-methylimidazolium Tetrafluoroborate Using Gas-Liquid Chromatography'}"
44,"{'full': 'Baelhadj, A. C.; Mutelet, F.; Jiang, B.; Acree Jr., W. E. (2016) J. Mol. Liq. 223, 89-99.', 'title': 'Activity coefficients at infinite dilution for organic solutes dissolved in two 1,2,3-tris(diethylamino)cyclopenylium based room temperature ionic liquids'}"
45,"{'full': 'Chen, J.-Y.; Jiang, H.-X.; Liu, J.-L.; Jia, H.-X.; Jiao, Y.-H.; Ge, M.-L.; Kang, R.-X.; Peng, X.-M.; Xiong, J.-M. (2017) J. Chem. Thermodyn. 115, 12-18.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic compounds and water in the ionic liquid 1-butyl-3-methylimidazolium perchlorate'}"
